figure_family	figure_title	panel	panel_title	purpose	priority_modules
Figure_7	Steroid, cholesterol, lipid-peroxidation and receptor-response remodeling	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	GLUCOCORTICOID_RESPONSE;FERROPTOSIS_LIPID_PEROXIDATION;ESTROGEN_RECEPTOR_RESPONSE;FATTY_ACID_BETA_OXIDATION;PPAR_SREBP_LXR_REGULATION;ESTROGEN_BIOSYNTHESIS;TESTOSTERONE_CONVERSION_AROMATIZATION;STEROID_CATABOLISM_DEACTIVATION;CHOLESTEROL_BIOSYNTHESIS;LIPID_DROPLET_DYNAMICS
Figure_7	Steroid, cholesterol, lipid-peroxidation and receptor-response remodeling	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	GLUCOCORTICOID_RESPONSE;FERROPTOSIS_LIPID_PEROXIDATION;ESTROGEN_RECEPTOR_RESPONSE;FATTY_ACID_BETA_OXIDATION;PPAR_SREBP_LXR_REGULATION;ESTROGEN_BIOSYNTHESIS;TESTOSTERONE_CONVERSION_AROMATIZATION;STEROID_CATABOLISM_DEACTIVATION;CHOLESTEROL_BIOSYNTHESIS;LIPID_DROPLET_DYNAMICS
Figure_7	Steroid, cholesterol, lipid-peroxidation and receptor-response remodeling	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	GLUCOCORTICOID_RESPONSE;FERROPTOSIS_LIPID_PEROXIDATION;ESTROGEN_RECEPTOR_RESPONSE;FATTY_ACID_BETA_OXIDATION;PPAR_SREBP_LXR_REGULATION;ESTROGEN_BIOSYNTHESIS;TESTOSTERONE_CONVERSION_AROMATIZATION;STEROID_CATABOLISM_DEACTIVATION;CHOLESTEROL_BIOSYNTHESIS;LIPID_DROPLET_DYNAMICS
Figure_7	Steroid, cholesterol, lipid-peroxidation and receptor-response remodeling	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	GLUCOCORTICOID_RESPONSE;FERROPTOSIS_LIPID_PEROXIDATION;ESTROGEN_RECEPTOR_RESPONSE;FATTY_ACID_BETA_OXIDATION;PPAR_SREBP_LXR_REGULATION;ESTROGEN_BIOSYNTHESIS;TESTOSTERONE_CONVERSION_AROMATIZATION;STEROID_CATABOLISM_DEACTIVATION;CHOLESTEROL_BIOSYNTHESIS;LIPID_DROPLET_DYNAMICS
Figure_7	Steroid, cholesterol, lipid-peroxidation and receptor-response remodeling	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	GLUCOCORTICOID_RESPONSE;FERROPTOSIS_LIPID_PEROXIDATION;ESTROGEN_RECEPTOR_RESPONSE;FATTY_ACID_BETA_OXIDATION;PPAR_SREBP_LXR_REGULATION;ESTROGEN_BIOSYNTHESIS;TESTOSTERONE_CONVERSION_AROMATIZATION;STEROID_CATABOLISM_DEACTIVATION;CHOLESTEROL_BIOSYNTHESIS;LIPID_DROPLET_DYNAMICS
Figure_7	Steroid, cholesterol, lipid-peroxidation and receptor-response remodeling	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	GLUCOCORTICOID_RESPONSE;FERROPTOSIS_LIPID_PEROXIDATION;ESTROGEN_RECEPTOR_RESPONSE;FATTY_ACID_BETA_OXIDATION;PPAR_SREBP_LXR_REGULATION;ESTROGEN_BIOSYNTHESIS;TESTOSTERONE_CONVERSION_AROMATIZATION;STEROID_CATABOLISM_DEACTIVATION;CHOLESTEROL_BIOSYNTHESIS;LIPID_DROPLET_DYNAMICS
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	LEPTIN_SIGNALING;GLYCOLYSIS;RESISTIN_INFLAMMATORY_SIGNALING;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;ADIPOKINE_INFLAMMATORY_AXIS;PI3K_AKT_SIGNALING;PPARG_ADIPOMETABOLIC_REGULATION;AGE_RAGE_SIGNALING;GLYCOGEN_SYNTHESIS;PENTOSE_PHOSPHATE_PATHWAY
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	LEPTIN_SIGNALING;GLYCOLYSIS;RESISTIN_INFLAMMATORY_SIGNALING;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;ADIPOKINE_INFLAMMATORY_AXIS;PI3K_AKT_SIGNALING;PPARG_ADIPOMETABOLIC_REGULATION;AGE_RAGE_SIGNALING;GLYCOGEN_SYNTHESIS;PENTOSE_PHOSPHATE_PATHWAY
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	LEPTIN_SIGNALING;GLYCOLYSIS;RESISTIN_INFLAMMATORY_SIGNALING;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;ADIPOKINE_INFLAMMATORY_AXIS;PI3K_AKT_SIGNALING;PPARG_ADIPOMETABOLIC_REGULATION;AGE_RAGE_SIGNALING;GLYCOGEN_SYNTHESIS;PENTOSE_PHOSPHATE_PATHWAY
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	LEPTIN_SIGNALING;GLYCOLYSIS;RESISTIN_INFLAMMATORY_SIGNALING;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;ADIPOKINE_INFLAMMATORY_AXIS;PI3K_AKT_SIGNALING;PPARG_ADIPOMETABOLIC_REGULATION;AGE_RAGE_SIGNALING;GLYCOGEN_SYNTHESIS;PENTOSE_PHOSPHATE_PATHWAY
