final_figure	panel	panel_title	construction_mode	primary_source	source_id	final_figure_title	planned_panels	primary_message	panel_key	architecture_status	source_role	locked_path	lock_status
Figure_1	A	Central biological questions	conceptual_rebuild	working Figure 1; U26A module architecture	01_study_design_and_question_map	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1A	frozen	bulk_readiness	project://06_tables/phaseU26B2A1_cross_dataset_input_repair/UTI_HostOmics_U26B2A1_bulk_dataset_readiness.tsv	LOCKED_EXACT_RULE
Figure_1	A	Central biological questions	conceptual_rebuild	working Figure 1; U26A module architecture	01_study_design_and_question_map	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1A	frozen	gse280297_design	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	LOCKED_EXACT_RULE
Figure_1	A	Central biological questions	conceptual_rebuild	working Figure 1; U26A module architecture	01_study_design_and_question_map	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1A	frozen	module_library	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	LOCKED_EXACT_RULE
Figure_1	A	Central biological questions	conceptual_rebuild	working Figure 1; U26A module architecture	01_study_design_and_question_map	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1A	frozen	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	LOCKED_EXACT_RULE
Figure_1	B	Dataset map by species, tissue, specimen and omics layer	table_driven_rebuild	dataset/sample manifests; working Figure 1	dataset_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1B	frozen	bulk_readiness	project://06_tables/phaseU26B2A1_cross_dataset_input_repair/UTI_HostOmics_U26B2A1_bulk_dataset_readiness.tsv	LOCKED_EXACT_RULE
Figure_1	C	Sample and contrast architecture	table_driven_rebuild	GSE280297 validated design; comparator designs	contrast_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1C	frozen	gse112098_adjusted	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE112098_age_sex_adjusted_results.tsv	LOCKED_EXACT_RULE
Figure_1	C	Sample and contrast architecture	table_driven_rebuild	GSE280297 validated design; comparator designs	contrast_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1C	frozen	gse186800_factorial	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE186800_factorial_results.tsv	LOCKED_EXACT_RULE
Figure_1	C	Sample and contrast architecture	table_driven_rebuild	GSE280297 validated design; comparator designs	contrast_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1C	frozen	gse280297_design	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	LOCKED_EXACT_RULE
Figure_1	D	Ten axes and 78-submodule hierarchy	table_driven_rebuild	U26A expanded submodule library	U26A_module_dictionary	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1D	frozen	module_library	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	LOCKED_EXACT_RULE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26A1_targeted_source_contrast_species_repair/UTI_HostOmics_U26A1_phase_decision.tsv	LOCKED_BUNDLE
