supplementary_table	table_title	source_order	source_role	source_status	source_path	source_relative_path	source_exists	source_supported_tabular_format	source_sha256	source_size_bytes	source_rows	source_column_count	source_columns	source_read_status
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	1	GSE252321 four-sample biological design	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	True	True	a4b855bb583569361e55937e7361adf263451ccb9c0eb11c47de023708646833	876	4	6	sample_id; condition; source_matrix; source_scale_class; n_cell_columns; analysis_unit	READY
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	2	GSE112098 validated 73-sample design	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	True	True	d26217eaa1c9d578dffecbd6594a8e8895c2fe010242abfaf5711cadd64f13b0	124024	73	34	sample_id; annotation_row_matched; sample_geo_accession; status; submission_date; last_update_date; type; channel_count; source_name_ch1; organism_ch1; characteristics_ch1; treatment_protocol_ch1; molecule_ch1; extract_protocol_ch1; label_ch1; label_protocol_ch1; taxid_ch1; hyb_protocol; scan_protocol; description; data_processing; platform_id; contact_name; contact_email; contact_phone; contact_department; contact_institute; contact_address; contact_city; contact_state; contact_zip/postal_code; contact_country; supplementary_file; data_row_count	READY
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	3	GSE186800 validated 20-sample recurrent-UTI design	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	True	True	6762c6c238c583d456ffcc651091981db5501fd983c6fdb395346cbabd4d3878	1201	20	6	sample_id; annotation_row_matched; dataset_id; inferred_group; inferred_block; source	READY
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	4	GSE280297 validated 60-tissue-sample design	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	True	True	8e26043e272b81b7b068bdca8e549ed8c5e878df4dda91a692786f058a024858	10710	60	13	sample_id; annotation_row_matched; sample_geo_accession; tissue; treatment; primary_exposure; outcome; pregnancy_status; sex; inferred_group; dam_id; unresolved_required_fields; source_annotation_text	READY
S2	Expanded 78-submodule library organized across ten biological axes.	1	Frozen 78-submodule library	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	True	True	b728ccae124dc96e3d54902bb02c669890ab1fbefaf1bbffb208d7f80a2d245e	17925	78	8	axis; submodule_id; display_label; n_genes; genes; biological_readout; priority_weight; proposed_figure_family	READY
S3	Dataset-specific module effects and factorial or adjusted contrasts.	1	GSE112098 adjusted human comparator module effects	LOCKED_HIGH_CONFIDENCE	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_human_urine_module_contrast_v1.tsv	07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_human_urine_module_contrast_v1.tsv	True	True	29bb3f1946dfa8b853396f57f4a7f60697b6a46a0d1130335956e191ec08c9b8	5704	20	15	dataset_id; contrast_name; module_name; group_a; group_b; n_group_a; n_group_b; mean_group_a; mean_group_b; delta_group_a_minus_group_b; cohens_d; welch_t; p_value; fdr_bh; direction	READY
S3	Dataset-specific module effects and factorial or adjusted contrasts.	2	GSE280297 factorial and tissue-specific module effects	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_all_contrast_results.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_all_contrast_results.tsv	True	True	683cbe9ff36d17289098d401a778e09289a762647d256c87692f59cb3f8212b2	390589	810	26	contrast_id; tissue; analysis_status; group_a; group_b; n_group_a; n_group_b; feature_type; axis; feature_id; display_label; proposed_figure_family; mean_group_a; mean_group_b; mean_difference_a_minus_b; hedges_g; hedges_g_ci_low; hedges_g_ci_high; welch_t; p_value; auc_group_a_higher; direction; interpretation; q_value_within_contrast; fdr_0_05; fdr_0_10	READY
S3	Dataset-specific module effects and factorial or adjusted contrasts.	3	GSE186800 block and interaction module effects	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_block_interaction_effects.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_block_interaction_effects.tsv	True	True	65299523f715ffe61787a99121f2f37f145a3722a5cad9d56cc83bace2b5afff	74303	162	21	dataset; contrast_id; biological_context; evidence_tier; group_a; group_b; feature_type; axis; feature_id; display_label; proposed_figure_family; effect_value; effect_metric; p_value; q_value; fdr_0_10; direction; n_group_a; n_group_b; fdr_bool; interpretation_boundary	READY
S3	Dataset-specific module effects and factorial or adjusted contrasts.	4	GSE252321 sample-level UPEC-versus-control module effects	LOCKED_HIGH_CONFIDENCE	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_sample_level_UPEC_vs_Control_module_contrast_v1.tsv	07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_sample_level_UPEC_vs_Control_module_contrast_v1.tsv	True	True	d27613a73abc0ff504cde2121e93e1dbc77ad1491701eeac94eacac3ba3e6d92	4975	20	16	dataset_id; contrast_name; module_name; group_a; group_b; unit; n_group_a; n_group_b; mean_group_a; mean_group_b; delta_group_a_minus_group_b; cohens_d; welch_t; p_value; fdr_bh; direction	READY
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	1	Evidence-class summary	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_validation_class_summary.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_validation_class_summary.tsv	True	True	cf37fae5e07574c02a2e6ae0c3845f3193cc493f10732d95cb120fb671282c52	183	4	2	validation_class; n_modules	READY
