figure_number	figure_title	panel	panel_key	frozen_panel_title	definitive_panel_legend	source_roles	source_paths	source_value_table	source_value_rows_for_panel	panel_crop	figure_svg
1	Study architecture, datasets, contrasts and evidence hierarchy	A	Figure_1A	Central biological questions	Conceptual map linking the cross-dataset infection core, pregnancy- and tissue-associated outcomes, endocrine-metabolic branches and cell-resolved immune localization under an explicit evidence hierarchy.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	0	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_A.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg
1	Study architecture, datasets, contrasts and evidence hierarchy	B	Figure_1B	Dataset map by species, tissue, specimen and omics layer	Dataset architecture comprising GSE112098, a human urinary/systemic inflammation comparator (n=73); GSE280297, a mouse pregnancy, tissue and outcome dataset (n=60 tissue samples); GSE168600, a mouse recurrent or prior-exposure bladder model (n=20); and GSE252321, a four-sample single-cell UPEC experiment. In GSE252321, 27,385 cells passed quality control, and a balanced subset was used for the displayed embedding.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	4	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_B.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg
1	Study architecture, datasets, contrasts and evidence hierarchy	C	Figure_1C	Sample and contrast architecture	Biological sample counts across bladder, placenta and uterus for the mock/PBS, nonpregnant UPEC, preterm UPEC and term UPEC groups in GSE280297. Tissue samples, rather than inferred dams, were retained as the statistical units.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	4	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_C.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg
1	Study architecture, datasets, contrasts and evidence hierarchy	D	Figure_1D	Ten axes and 78-submodule hierarchy	Distribution of 78 curated submodules across ten biological axes, including steroid-cholesterol-endocrine biology, inflammatory carbon metabolism, nucleotide/NAD/nitrogen metabolism, complement architecture, amino-acid metabolism, lipid metabolism, immune-context anchors, adipokine signaling, insulin/IRS signaling and catecholamine-stress-adjacent biology.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	10	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_D.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg
1	Study architecture, datasets, contrasts and evidence hierarchy	E	Figure_1E	Analytical workflow	Analytical workflow from expression repair and species-native module scoring through evidence synthesis and cellular attribution. Raw expression values were not pooled across studies, species or tissues.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	0	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_E.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg
1	Study architecture, datasets, contrasts and evidence hierarchy	F	Figure_1F	Evidence hierarchy	Evidence hierarchy separating robust recurrent effects, provisional effects supported by one false-discovery-rate-qualified dataset plus independent concordance, context-divergent effects and limited independent support.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	4	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_F.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg
2	Cross-dataset infection effects, recurrent cores and contextual comparators	A	Figure_2A	One independent infection-context effect per dataset	Signed independent infection-effect estimates for selected recurrent and contextual modules across the eligible datasets. Color denotes the direction and magnitude of the standardized module-level effect within each independently analyzed study.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	40	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_A.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg
2	Cross-dataset infection effects, recurrent cores and contextual comparators	B	Figure_2B	Robust, provisional, secondary and divergent modules	Number of modules assigned to each evidence class after recurrence, false-discovery-rate support and independent-context evaluation.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	4	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_B.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg
2	Cross-dataset infection effects, recurrent cores and contextual comparators	C	Figure_2C	TLR4-leptin-PI3K/AKT core	Evidence-weighted topology connecting TLR4-LPS signaling, leptin, insulin receptor/IRS, PI3K-AKT, inflammatory response and glycogen/carbon-use programs. Arrows summarize recurrent directional coupling and do not establish a direct causal sequence.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	10	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_C.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg
2	Cross-dataset infection effects, recurrent cores and contextual comparators	D	Figure_2D	Provisional complement core	Complement recurrence core comparing opsonophagocytosis and C3a/C5a inflammatory signaling across infection and preterm-versus-term contexts. Complement findings are interpreted as provisional where independent sample support is limited.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	2	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_D.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg
