figure	panel	title	modules	purpose	feature_id	display_label	cellular_localization_class	top_broad_population	top_refined_subtype	cellular_evidence_summary
Figure_7	A	Cell-resolved endocrine and lipid pathway heatmap	GLUCOCORTICOID_RESPONSE;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;STEROIDOGENESIS_CORE;CHOLESTEROL_BIOSYNTHESIS;FERROPTOSIS_LIPID_PEROXIDATION	Show broad immune-cell localization while separating coherent responses from branch-divergent steroid and lipid programmes.	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	coherent_pan_immune_higher_in_UPEC	cycling_immune	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.840; high/moderate broad populations=5
Figure_7	A	Cell-resolved endocrine and lipid pathway heatmap	GLUCOCORTICOID_RESPONSE;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;STEROIDOGENESIS_CORE;CHOLESTEROL_BIOSYNTHESIS;FERROPTOSIS_LIPID_PEROXIDATION	Show broad immune-cell localization while separating coherent responses from branch-divergent steroid and lipid programmes.	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	multi_compartment_contextual	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.762; high/moderate broad populations=3
Figure_7	A	Cell-resolved endocrine and lipid pathway heatmap	GLUCOCORTICOID_RESPONSE;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;STEROIDOGENESIS_CORE;CHOLESTEROL_BIOSYNTHESIS;FERROPTOSIS_LIPID_PEROXIDATION	Show broad immune-cell localization while separating coherent responses from branch-divergent steroid and lipid programmes.	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	coherent_pan_immune_higher_in_UPEC	dendritic	CD209A_CLEC10A_cDC2_like	median composite=0.527; high/moderate broad populations=4
Figure_7	A	Cell-resolved endocrine and lipid pathway heatmap	GLUCOCORTICOID_RESPONSE;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;STEROIDOGENESIS_CORE;CHOLESTEROL_BIOSYNTHESIS;FERROPTOSIS_LIPID_PEROXIDATION	Show broad immune-cell localization while separating coherent responses from branch-divergent steroid and lipid programmes.	STEROIDOGENESIS_CORE	Core steroidogenesis	branch_divergent	cycling_immune	MKI67_TOP2A_cycling_immune	median composite=0.439; high/moderate broad populations=3
Figure_7	A	Cell-resolved endocrine and lipid pathway heatmap	GLUCOCORTICOID_RESPONSE;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;STEROIDOGENESIS_CORE;CHOLESTEROL_BIOSYNTHESIS;FERROPTOSIS_LIPID_PEROXIDATION	Show broad immune-cell localization while separating coherent responses from branch-divergent steroid and lipid programmes.	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	coherent_pan_immune_lower_in_UPEC	neutrophil	IL1B_CXCL2_inflammatory_neutrophil	median composite=0.849; high/moderate broad populations=6
Figure_7	A	Cell-resolved endocrine and lipid pathway heatmap	GLUCOCORTICOID_RESPONSE;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;STEROIDOGENESIS_CORE;CHOLESTEROL_BIOSYNTHESIS;FERROPTOSIS_LIPID_PEROXIDATION	Show broad immune-cell localization while separating coherent responses from branch-divergent steroid and lipid programmes.	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	multi_compartment_contextual	NK_cell	conventional_activated_T	median composite=0.659; high/moderate broad populations=3
Figure_7	B	Pan-immune cholesterol-biosynthesis suppression	CHOLESTEROL_BIOSYNTHESIS	Demonstrate the unusually coherent lower cholesterol-biosynthesis programme across all complete broad populations.	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	coherent_pan_immune_lower_in_UPEC	neutrophil	IL1B_CXCL2_inflammatory_neutrophil	median composite=0.849; high/moderate broad populations=6
Figure_7	C	Glucocorticoid-response activation	GLUCOCORTICOID_RESPONSE	Localize the higher glucocorticoid-response programme across lymphoid and myeloid compartments.	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	coherent_pan_immune_higher_in_UPEC	cycling_immune	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.840; high/moderate broad populations=5
Figure_7	D	Mixed steroidogenic branch architecture	STEROIDOGENESIS_CORE;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING	Contrast lower steroid-synthesis branches with higher receptor-response programmes outside neutrophils.	STEROIDOGENESIS_CORE	Core steroidogenesis	branch_divergent	cycling_immune	MKI67_TOP2A_cycling_immune	median composite=0.439; high/moderate broad populations=3
Figure_7	D	Mixed steroidogenic branch architecture	STEROIDOGENESIS_CORE;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING	Contrast lower steroid-synthesis branches with higher receptor-response programmes outside neutrophils.	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	myeloid_dominant	neutrophil	IL1B_CXCL2_inflammatory_neutrophil	median composite=0.553; high/moderate broad populations=3
