figure_number	final_figure	figure_title	panel	panel_key	panel_title	panel_title_source_column	source_id	construction_mode	primary_source	figure_png	figure_svg	figure_pdf	panel_crop	source_value_table
1	Figure_1	Study architecture, datasets, contrasts and evidence hierarchy	A	Figure_1A	Central biological questions	panel_title	01_study_design_and_question_map	conceptual_rebuild	working Figure 1; U26A module architecture	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv
1	Figure_1	Study architecture, datasets, contrasts and evidence hierarchy	B	Figure_1B	Dataset map by species, tissue, specimen and omics layer	panel_title	dataset_manifest	table_driven_rebuild	dataset/sample manifests; working Figure 1	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv
1	Figure_1	Study architecture, datasets, contrasts and evidence hierarchy	C	Figure_1C	Sample and contrast architecture	panel_title	contrast_manifest	table_driven_rebuild	GSE280297 validated design; comparator designs	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv
1	Figure_1	Study architecture, datasets, contrasts and evidence hierarchy	D	Figure_1D	Ten axes and 78-submodule hierarchy	panel_title	U26A_module_dictionary	table_driven_rebuild	U26A expanded submodule library	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv
1	Figure_1	Study architecture, datasets, contrasts and evidence hierarchy	E	Figure_1E	Analytical workflow	panel_title	phase_workflow_manifest	conceptual_rebuild	phase decisions U26A-U27A4	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv
1	Figure_1	Study architecture, datasets, contrasts and evidence hierarchy	F	Figure_1F	Evidence hierarchy	panel_title	U26C1_evidence_tiers	table_driven_rebuild	U26C1 refined core and claim priorities	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv
2	Figure_2	Cross-dataset infection effects, recurrent cores and contextual comparators	A	Figure_2A	One independent infection-context effect per dataset	panel_title	U26B2B1_primary_effects	table_driven_rebuild	U26B2B1 primary independent effects	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv
2	Figure_2	Cross-dataset infection effects, recurrent cores and contextual comparators	B	Figure_2B	Robust, provisional, secondary and divergent modules	panel_title	U26B2B1_classification	table_driven_rebuild	U26B2B1 evidence classes	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv
2	Figure_2	Cross-dataset infection effects, recurrent cores and contextual comparators	C	Figure_2C	TLR4-leptin-PI3K/AKT core	panel_title	U26C1_core_network	table_driven_rebuild	U26C1 refined synthesis	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv
2	Figure_2	Cross-dataset infection effects, recurrent cores and contextual comparators	D	Figure_2D	Provisional complement core	panel_title	U26C1_complement_core	table_driven_rebuild	U26C1 complement priorities	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv
