gap_id	gap_text	candidate_rank	candidate_reference	keyword_overlap	status
U16A_GAP_01	Check whether the GSE280297-associated preprint has been peer-reviewed and update citation accordingly. Citation/key: `GSE280297_maternofetal_UTI_preterm`.	1	GSE280297_maternofetal_UTI_preterm | GEO submitters | 2024 | Distinct maternofetal immune signatures delineate preterm birth onset following urinary tract infection | Gene Expression Omnibus | nan | nan | nan	gse280297; maternofetal; preterm	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_02	Import through Zotero/Crossref to complete the full author list. Citation/key: `Masajtis_Zagajewska_2017_NETs_UTI`.	1	Masajtis_Zagajewska_2017_NETs_UTI | Masajtis-Zagajewska A; et al. | 2017 | Characterization of Early-Phase Neutrophil Extracellular Traps in Urinary Tract Infections | PLOS Pathogens | 10.1371/journal.ppat.1006151 | nan | nan	2017; masajtis; nets; zagajewska	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_02	Import through Zotero/Crossref to complete the full author list. Citation/key: `Masajtis_Zagajewska_2017_NETs_UTI`.	2	Cain_Cidlowski_2017_immune_regulation_glucocorticoids | Cain DW; Cidlowski JA | 2017 | Immune regulation by glucocorticoids | Nature Reviews Immunology | 10.1038/nri.2017.1 | nan | nan	2017	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_02	Import through Zotero/Crossref to complete the full author list. Citation/key: `Masajtis_Zagajewska_2017_NETs_UTI`.	3	Demirel_2023_NETs_children_UTI | Demirel I; et al. | 2023 | Neutrophil extracellular traps in urinary tract infection | Frontiers in Pediatrics | 10.3389/fped.2023.1154139 | nan | nan	nets	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_03	Import through Zotero/Crossref to complete the full author list and PMID/PMCID if available. Citation/key: `Demirel_2023_NETs_children_UTI`.	1	Demirel_2023_NETs_children_UTI | Demirel I; et al. | 2023 | Neutrophil extracellular traps in urinary tract infection | Frontiers in Pediatrics | 10.3389/fped.2023.1154139 | nan | nan	2023; children; demirel; nets	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_03	Import through Zotero/Crossref to complete the full author list and PMID/PMCID if available. Citation/key: `Demirel_2023_NETs_children_UTI`.	2	Demirel_2018_NLRP3_UPEC | Demirel I; Persson A; Brauner A; Sarndahl E; Kruse R; Persson K | 2018 | Activation of the NLRP3 Inflammasome Pathway by Uropathogenic Escherichia coli Is Virulence Factor-Dependent and Influences Colonization of Bladder Epithelial Cells | Frontiers in Cellular and Infection Microbiology | 10.3389/fcimb.2018.00081 | 29662840.0 | PMC5890162	demirel	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_03	Import through Zotero/Crossref to complete the full author list and PMID/PMCID if available. Citation/key: `Demirel_2023_NETs_children_UTI`.	3	Hannan_2023_immune_defenses_urinary_tract | Hannan TJ; Mysorekar IU; Hung CS | 2023 | Immune defenses in the urinary tract | Trends in Immunology | nan | 37591712.0 | PMC10528756	2023	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_03	Import through Zotero/Crossref to complete the full author list and PMID/PMCID if available. Citation/key: `Demirel_2023_NETs_children_UTI`.	4	Masajtis_Zagajewska_2017_NETs_UTI | Masajtis-Zagajewska A; et al. | 2017 | Characterization of Early-Phase Neutrophil Extracellular Traps in Urinary Tract Infections | PLOS Pathogens | 10.1371/journal.ppat.1006151 | nan | nan	nets	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_03	Import through Zotero/Crossref to complete the full author list and PMID/PMCID if available. Citation/key: `Demirel_2023_NETs_children_UTI`.	5	Russell_2023_UPEC_epithelial_trained_immunity | Russell SK; Harrison JK; Olson BS; Lee HJ; O'Brien VP; Xing X; et al. | 2023 | Uropathogenic Escherichia coli infection-induced epithelial trained immunity impacts urinary tract disease outcome | Nature Microbiology | 10.1038/s41564-023-01346-6 | 37037942.0 | PMC10159856	2023	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_04	Keep as pregnancy/oxytocin biology support only; find a more specific oxytocin-inflammation source if this axis becomes central. Citation/key: `UvnasMoberg_2023_oxytocin_labor_peripartum`.	1	UvnasMoberg_2023_oxytocin_labor_peripartum | Uvnas-Moberg K; et al. | 2023 | The physiology and pharmacology of oxytocin in labor and in the peripartum period | American Journal of Obstetrics and Gynecology | 10.1016/j.ajog.2023.04.011 | nan | nan	2023; labor; oxytocin; peripartum; uvnasmoberg	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_04	Keep as pregnancy/oxytocin biology support only; find a more specific oxytocin-inflammation source if this axis becomes central. Citation/key: `UvnasMoberg_2023_oxytocin_labor_peripartum`.	2	Demirel_2023_NETs_children_UTI | Demirel I; et al. | 2023 | Neutrophil extracellular traps in urinary tract infection | Frontiers in Pediatrics | 10.3389/fped.2023.1154139 | nan | nan	2023	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_04	Keep as pregnancy/oxytocin biology support only; find a more specific oxytocin-inflammation source if this axis becomes central. Citation/key: `UvnasMoberg_2023_oxytocin_labor_peripartum`.	3	Hannan_2023_immune_defenses_urinary_tract | Hannan TJ; Mysorekar IU; Hung CS | 2023 | Immune defenses in the urinary tract | Trends in Immunology | nan | 37591712.0 | PMC10528756	2023	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_04	Keep as pregnancy/oxytocin biology support only; find a more specific oxytocin-inflammation source if this axis becomes central. Citation/key: `UvnasMoberg_2023_oxytocin_labor_peripartum`.	4	Russell_2023_UPEC_epithelial_trained_immunity | Russell SK; Harrison JK; Olson BS; Lee HJ; O'Brien VP; Xing X; et al. | 2023 | Uropathogenic Escherichia coli infection-induced epithelial trained immunity impacts urinary tract disease outcome | Nature Microbiology | 10.1038/s41564-023-01346-6 | 37037942.0 | PMC10159856	2023	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_04	Keep as pregnancy/oxytocin biology support only; find a more specific oxytocin-inflammation source if this axis becomes central. Citation/key: `UvnasMoberg_2023_oxytocin_labor_peripartum`.	5	Schwartz_2023_uropathogen_host_pyelonephritis | Schwartz L; de Dios Ruiz-Rosado J; Stonebrook E; Becknell B; Spencer JD | 2023 | Uropathogen and host responses in pyelonephritis | Nature Reviews Nephrology | 10.1038/s41581-023-00737-6 | nan | nan	2023	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_05	Add one exact reference on glucocorticoid signaling in pregnancy inflammation or immune regulation before final Discussion polishing. Citation/key: `glucocorticoid_pregnancy_inflammation`.	1	Cain_Cidlowski_2017_immune_regulation_glucocorticoids | Cain DW; Cidlowski JA | 2017 | Immune regulation by glucocorticoids | Nature Reviews Immunology | 10.1038/nri.2017.1 | nan | nan	immune; regulation	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_05	Add one exact reference on glucocorticoid signaling in pregnancy inflammation or immune regulation before final Discussion polishing. Citation/key: `glucocorticoid_pregnancy_inflammation`.	2	GSE280297_maternofetal_UTI_preterm | GEO submitters | 2024 | Distinct maternofetal immune signatures delineate preterm birth onset following urinary tract infection | Gene Expression Omnibus | nan | nan | nan	immune	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_05	Add one exact reference on glucocorticoid signaling in pregnancy inflammation or immune regulation before final Discussion polishing. Citation/key: `glucocorticoid_pregnancy_inflammation`.	3	Hannan_2023_immune_defenses_urinary_tract | Hannan TJ; Mysorekar IU; Hung CS | 2023 | Immune defenses in the urinary tract | Trends in Immunology | nan | 37591712.0 | PMC10528756	immune	CANDIDATE_ONLY_NOT_FINALIZED
U16A_GAP_05	Add one exact reference on glucocorticoid signaling in pregnancy inflammation or immune regulation before final Discussion polishing. Citation/key: `glucocorticoid_pregnancy_inflammation`.	4	Solano_Arck_2020_steroids_pregnancy_fetal_development | Solano ME; Arck PC | 2020 | Steroids, Pregnancy and Fetal Development | Frontiers in Immunology | 10.3389/fimmu.2019.03017 | nan | nan	pregnancy	CANDIDATE_ONLY_NOT_FINALIZED
