final_figure	panel	panel_title	construction_mode	primary_source	source_id	final_figure_title	planned_panels	primary_message	panel_key	architecture_status	figure_number	figure_title	panel_title_source_column	figure_png	figure_svg	figure_pdf	source_value_table	panel_crop
Figure_1	A	Central biological questions	conceptual_rebuild	working Figure 1; U26A module architecture	01_study_design_and_question_map	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1A	frozen	1	Study architecture, datasets, contrasts and evidence hierarchy	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_A.png
Figure_1	B	Dataset map by species, tissue, specimen and omics layer	table_driven_rebuild	dataset/sample manifests; working Figure 1	dataset_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1B	frozen	1	Study architecture, datasets, contrasts and evidence hierarchy	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_B.png
Figure_1	C	Sample and contrast architecture	table_driven_rebuild	GSE280297 validated design; comparator designs	contrast_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1C	frozen	1	Study architecture, datasets, contrasts and evidence hierarchy	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_C.png
Figure_1	D	Ten axes and 78-submodule hierarchy	table_driven_rebuild	U26A expanded submodule library	U26A_module_dictionary	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1D	frozen	1	Study architecture, datasets, contrasts and evidence hierarchy	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_D.png
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	1	Study architecture, datasets, contrasts and evidence hierarchy	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_E.png
Figure_1	F	Evidence hierarchy	table_driven_rebuild	U26C1 refined core and claim priorities	U26C1_evidence_tiers	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1F	frozen	1	Study architecture, datasets, contrasts and evidence hierarchy	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_1_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_1_panel_F.png
Figure_2	A	One independent infection-context effect per dataset	table_driven_rebuild	U26B2B1 primary independent effects	U26B2B1_primary_effects	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2A	frozen	2	Cross-dataset infection effects, recurrent cores and contextual comparators	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_A.png
Figure_2	B	Robust, provisional, secondary and divergent modules	table_driven_rebuild	U26B2B1 evidence classes	U26B2B1_classification	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2B	frozen	2	Cross-dataset infection effects, recurrent cores and contextual comparators	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_B.png
Figure_2	C	TLR4-leptin-PI3K/AKT core	table_driven_rebuild	U26C1 refined synthesis	U26C1_core_network	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2C	frozen	2	Cross-dataset infection effects, recurrent cores and contextual comparators	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_C.png
Figure_2	D	Provisional complement core	table_driven_rebuild	U26C1 complement priorities	U26C1_complement_core	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2D	frozen	2	Cross-dataset infection effects, recurrent cores and contextual comparators	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_D.png
