final_figure	panel	panel_title	construction_mode	primary_source	source_id	final_figure_title	planned_panels	primary_message	panel_key	architecture_status
Figure_1	A	Central biological questions	conceptual_rebuild	working Figure 1; U26A module architecture	01_study_design_and_question_map	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1A	frozen
Figure_1	B	Dataset map by species, tissue, specimen and omics layer	table_driven_rebuild	dataset/sample manifests; working Figure 1	dataset_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1B	frozen
Figure_1	C	Sample and contrast architecture	table_driven_rebuild	GSE280297 validated design; comparator designs	contrast_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1C	frozen
Figure_1	D	Ten axes and 78-submodule hierarchy	table_driven_rebuild	U26A expanded submodule library	U26A_module_dictionary	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1D	frozen
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen
Figure_1	F	Evidence hierarchy	table_driven_rebuild	U26C1 refined core and claim priorities	U26C1_evidence_tiers	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1F	frozen
Figure_2	A	One independent infection-context effect per dataset	table_driven_rebuild	U26B2B1 primary independent effects	U26B2B1_primary_effects	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2A	frozen
Figure_2	B	Robust, provisional, secondary and divergent modules	table_driven_rebuild	U26B2B1 evidence classes	U26B2B1_classification	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2B	frozen
Figure_2	C	TLR4-leptin-PI3K/AKT core	table_driven_rebuild	U26C1 refined synthesis	U26C1_core_network	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2C	frozen
Figure_2	D	Provisional complement core	table_driven_rebuild	U26C1 complement priorities	U26C1_complement_core	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2D	frozen
Figure_2	E	Adjusted systemic inflammatory comparator	table_driven_rebuild	GSE112098 adjusted results	U26B2B_GSE112098	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2E	frozen
Figure_2	F	Gardnerella contextual effects and block separation	table_driven_rebuild	GSE186800 averaged treatment and block effects	U26B2B_GSE186800	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2F	frozen
Figure_2	G	Evidence-weighted concordance network	table_driven_rebuild	U26B2B1 recurrence and U26C network	U26B2B1_U26C_network	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2G	frozen
Figure_3	A	GSE280297 experimental and tissue design	table_driven_rebuild	validated 60-sample design	GSE280297_design	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3A	frozen
Figure_3	B	Preterm-versus-term effects by tissue	table_driven_rebuild	U26B1.1 C1 primary results	U26B1_1_C1	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3B	frozen
