final_figure	panel	panel_key	panel_title	construction_mode	source_id	primary_source_description	phase_hint	resolution_type	resolved_for_implementation	top_table_or_metadata_candidate	top_candidate_score	top_candidate_columns	n_ranked_table_candidates	visual_reference_assets	source_bundle_paths	requires_manual_candidate_selection
Figure_1	A	Figure_1A	Central biological questions	conceptual_rebuild	01_study_design_and_question_map	working Figure 1; U26A module architecture		conceptual_source_bundle	True	project://03_metadata/phaseU26A4_GSE280297_established_asset_validation/GSE280297_U26A4_validated_sample_design.tsv	34.0	sample_id;annotation_row_matched;tissue;treatment;outcome;pregnancy_status;dam_id;unresolved_required_fields;annotation_evidence	8		project://03_metadata;project://06_tables/phaseU27B1_architecture_freeze_and_asset_mapping	True
Figure_1	B	Figure_1B	Dataset map by species, tissue, specimen and omics layer	table_driven_rebuild	dataset_manifest	dataset/sample manifests; working Figure 1		conceptual_source_bundle	True	project://06_tables/phaseU26B2A1_cross_dataset_input_repair/UTI_HostOmics_U26B2A1_bulk_dataset_readiness.tsv	19.0	dataset;species;biological_role;observed_samples;canonical_genes;annotation_match_fraction;expression_scale_class;ready_for_scoring;critical_note	8		project://03_metadata;project://06_tables/phaseU27B1_architecture_freeze_and_asset_mapping	True
Figure_1	C	Figure_1C	Sample and contrast architecture	table_driven_rebuild	contrast_manifest	GSE280297 validated design; comparator designs		conceptual_source_bundle	True	project://03_metadata/phaseU26A4_GSE280297_established_asset_validation/GSE280297_U26A4_validated_sample_design.tsv	22.0	sample_id;annotation_row_matched;tissue;treatment;outcome;pregnancy_status;dam_id;unresolved_required_fields;annotation_evidence	8		project://03_metadata;project://06_tables/phaseU27B1_architecture_freeze_and_asset_mapping	True
Figure_1	E	Figure_1E	Analytical workflow	conceptual_rebuild	phase_workflow_manifest	phase decisions U26A-U27A4		conceptual_source_bundle	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_normalized_output_manifest.tsv	22.0	figure;format;source_path;normalized_path;source_filename;normalized_filename;source_prefix_mismatch;size_bytes	8		project://05_results;project://06_tables;project://10_scripts	True
Figure_2	A	Figure_2A	One independent infection-context effect per dataset	table_driven_rebuild	U26B2B1_primary_effects	U26B2B1 primary independent effects	U26B2B1	table_or_metadata_driven	True	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_FDR10_noninfection_effects.tsv	44.0	dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;effect_value;effect_metric;p_value;q_value;fdr_0_10;direction;n_group_a;n_group_b;fdr_bool;interpretation_boundary	8			True
Figure_2	B	Figure_2B	Robust, provisional, secondary and divergent modules	table_driven_rebuild	U26B2B1_classification	U26B2B1 evidence classes	U26B2B1	table_or_metadata_driven	True	project://03_metadata/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_Figures_7_to_11_panel_plan.tsv	41.0	figure_family;figure_title;panel;panel_title;purpose;priority_modules	8			True
Figure_2	E	Figure_2E	Adjusted systemic inflammatory comparator	table_driven_rebuild	U26B2B_GSE112098	GSE112098 adjusted results	U26B2B	table_or_metadata_driven	True	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE112098_unadjusted_results.tsv	74.0	dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;n_group_a;n_group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;mean_group_a;mean_group_b;mean_difference_a_minus_b;hedges_g;welch_p_value;permutation_p_value;permutation_method;n_permutations;auc_group_a_higher;direction;permutation_q_within_contrast;welch_q_within_contrast;permutation_fdr_0_05;permutation_fdr_0_10	8			True
Figure_2	F	Figure_2F	Gardnerella contextual effects and block separation	table_driven_rebuild	U26B2B_GSE186800	GSE186800 averaged treatment and block effects	U26B2B	table_or_metadata_driven	True	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE186800_factorial_results.tsv	69.0	dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;n_group_a;n_group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;mean_group_a;mean_group_b;mean_difference_a_minus_b;hedges_g;model_estimate;model_standard_error;model_t_value;model_p_value;degrees_freedom;direction;model_q_within_contrast;model_fdr_0_05;model_fdr_0_10	8			True
Figure_3	A	Figure_3A	GSE280297 experimental and tissue design	table_driven_rebuild	GSE280297_design	validated 60-sample design		table_or_metadata_driven	True	project://03_metadata/phaseU26A4_GSE280297_established_asset_validation/GSE280297_U26A4_validated_sample_design.tsv	47.0	sample_id;annotation_row_matched;tissue;treatment;outcome;pregnancy_status;dam_id;unresolved_required_fields;annotation_evidence	8			True
Figure_3	E	Figure_3E	UPEC pregnancy versus PBS pregnancy	table_driven_rebuild	U26B1_1_C2	U26B1.1 C2 results	U26B1_1	table_or_metadata_driven	True	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_7_primary_effect_matrix.tsv	44.0	feature_id;C1_PRETERM_VS_TERM | bladder;C1_PRETERM_VS_TERM | placenta;C1_PRETERM_VS_TERM | uterus;C2_UPEC_VS_PBS_PREGNANCY | bladder;C2_UPEC_VS_PBS_PREGNANCY | placenta;C2_UPEC_VS_PBS_PREGNANCY | uterus;C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	8			True
Figure_3	F	Figure_3F	Pregnant versus nonpregnant infected bladder	table_driven_rebuild	U26B1_1_C3	U26B1.1 C3 results	U26B1_1	table_or_metadata_driven	True	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_7_primary_effect_matrix.tsv	41.0	feature_id;C1_PRETERM_VS_TERM | bladder;C1_PRETERM_VS_TERM | placenta;C1_PRETERM_VS_TERM | uterus;C2_UPEC_VS_PBS_PREGNANCY | bladder;C2_UPEC_VS_PBS_PREGNANCY | placenta;C2_UPEC_VS_PBS_PREGNANCY | uterus;C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	8			True
Figure_3	H	Figure_3H	Pregnancy-outcome working model	conceptual_rebuild	U26C1_pregnancy_model	U26C1 refined pregnancy synthesis	U26C1	conceptual_source_bundle	True	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	48.0	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority	8		project://03_metadata/phaseU26C1_interpretation_threshold_and_branch_refinement;project://05_results/phaseU26C1_interpretation_threshold_and_branch_refinement;project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement	True
Figure_4	D	Figure_4D	Refined immune subtypes and states	table_driven_rebuild	U26D2A1_subtypes	U26D2A1 subtype composition	U26D2A1	table_or_metadata_driven	True	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_sample_subtype_composition.tsv	48.0	sample_id;condition;refined_cell_subtype;n_cells;fraction_of_QC_cells	8			True
Figure_4	E	Figure_4E	TNFSF9-positive and TNFSF9-high macrophages	table_driven_rebuild	U26D2A1_TNFSF9	U26D2A1 fixed targeted populations	U26D2A1	table_or_metadata_driven	True	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_fixed_targeted_population_summary.tsv	47.0	sample_id;condition;targeted_measure;numerator_cells;parent_cells;value;definition	8			True
Figure_5	A	Figure_5A	Independent endocrine/lipid infection effects	reuse_and_rebuild	U27A4_Figure_7A	U27A4 Figure 7A	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.png		True
Figure_5	B	Figure_5B	Pregnancy endocrine/lipid effects	reuse_and_rebuild	U27A4_Figure_7B	U27A4 Figure 7B	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.png		True
Figure_5	C	Figure_5C	Broad-cell endocrine/lipid localization	reuse_and_rebuild	U27A4_Figure_7C	U27A4 Figure 7C	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.png		True
Figure_5	D	Figure_5D	Steroid synthesis versus response branch map	table_driven_rebuild	U26C1_steroid_quadrant	U26C1 steroid branch summary	U26C1	conceptual_source_bundle	True	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	39.0	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority	8		project://03_metadata/phaseU26C1_interpretation_threshold_and_branch_refinement;project://05_results/phaseU26C1_interpretation_threshold_and_branch_refinement;project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement	True
Figure_5	F	Figure_5F	Lipid-droplet, PPAR/SREBP/LXR and ferroptosis	table_driven_rebuild	U26D2C_lipid_stress	U26D2C broad and subtype reliability	U26D2C	table_or_metadata_driven	True	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_subtype_effect_reliability.tsv	47.0	population_level;population;feature_id;display_label;axis;proposed_figure_family;requested_genes;detected_genes;coverage_fraction;score_eligible;mean_control_score;mean_UPEC_score;mean_difference_UPEC_minus_control;hedges_g_UPEC_vs_control;exact_permutation_p;module_mean_gene_log2FC;module_median_gene_log2FC;fraction_genes_positive_log2FC;fraction_genes_negative_log2FC;gene_direction_coherence;direction;exact_permutation_q_within_population;hedges_g_finite;variance_sensitive_hedges_g;cellular_evidence_class;cellular_localization_score;effect_direction	8			True
