paragraph_index	style	text_length	is_blank	text
0	Title	99	False	Pre-Zotero manuscript v6.3 | Submission architecture cleaned; internal reference tracking separated
1	Normal	19	False	Updated: 2026-07-16
2	Heading 2	13	False	Working title
3	Normal	132	False	Endocrine-metabolic-immune remodeling across urinary tract infection, pregnancy-associated outcomes and cell-resolved host responses
4	Heading 2	7	False	Authors
5	Normal	18	False	Reuben S. Maghembe
6	Normal	74	False	Affiliations and co-author list to be finalized before journal formatting.
7	Heading 2	8	False	Keywords
8	Normal	183	False	urinary tract infection; UPEC; pregnancy; recurrent UTI; TLR4; leptin; PI3K-AKT; steroid metabolism; cholesterol; complement; single-cell transcriptomics; immunometabolism; host omics
9	Heading 1	8	False	Abstract
10	Normal	396	False	Background: Urinary tract infection arises within heterogeneous host contexts in which innate sensing, endocrine state, cellular composition and metabolic adaptation can jointly shape inflammation and outcome. These processes are usually examined in isolated datasets, limiting mechanistic comparison across recurrence-related, pregnancy-associated, human inflammatory and cell-resolved settings.
11	Normal	550	False	Methods: We reconstructed a multi-context host-response atlas from four public datasets: GSE112098, GSE280297, GSE186800 and GSE252321. Seventy-eight curated submodules spanning ten biological axes were scored within each native species and tissue context. Cross-dataset synthesis used standardized effects, recurrence and directional concordance rather than pooled raw expression. The GSE252321 single-cell experiment was rebuilt into broad and refined immune populations and used for descriptive cellular localization and pseudobulk module scoring.
12	Normal	832	False	Results: TLR4-LPS, leptin and PI3K-AKT formed the strongest recurrent infection-associated core. Pregnancy-associated UTI showed tissue- and outcome-specific remodeling rather than a uniform response, including branch-selective steroid synthesis-response decoupling and heterogeneous complement and inflammatory-carbon effects. Single-cell reconstruction of 27,385 quality-controlled cells resolved 18 clusters, six broad immune populations and 14 refined subtypes. UPEC was associated with expansion of neutrophil and macrophage/monocyte compartments, higher strict Treg-like and TNFSF9-positive macrophage fractions, and cell-context-specific localization of complement, endocrine and metabolic modules. C3a/C5a signaling and opsonophagocytosis were recurrent but remained provisional where independent sample support was limited.
13	Normal	374	False	Conclusions: UTI host biology is organized around a recurrent innate-metabolic core that is reshaped by pregnancy, tissue compartment and immune-cell state. The resulting framework separates robust recurrent signals from provisional and context-divergent biology and provides a mechanistic basis for prospective endocrine, metabolic, complement and cell-resolved validation.
14	Heading 1	12	False	Introduction
15	Normal	661	False	Urinary tract infection is a common infectious syndrome whose clinical expression ranges from self-limited lower-tract disease to recurrent episodes, pyelonephritis and pregnancy-associated complications. Although uropathogenic Escherichia coli and other uropathogens initiate infection, host outcome depends on more than microbial burden alone. Epithelial integrity, innate sensing, myeloid recruitment, endocrine physiology and metabolic adaptation all contribute to the inflammatory state in which infection is contained, persists or becomes clinically consequential [Hannan_2023_immune_defenses_urinary_tract; Schwartz_2023_uropathogen_host_pyelonephritis].
16	Normal	745	False	Pregnancy adds a particularly complex physiological context. Steroid and cholesterol synthesis, hormone-receptor responsiveness, maternal-fetal immune tolerance, placental metabolism and complement regulation are dynamically remodeled across gestation. UTI-related inflammation may therefore intersect with pregnancy biology through branch-specific rather than globally concordant pathways. Distinguishing steroid synthesis from downstream receptor response, and complement initiation from inflammatory or opsonophagocytic effector branches, is important for understanding how infection-associated signals might differ between term and preterm outcomes [GSE280297_maternofetal_UTI_preterm; Solano_Arck_2020_steroids_pregnancy_fetal_development].
17	Normal	476	False	Metabolic transcriptional programs are similarly heterogeneous. Leptin, insulin-receptor/IRS and PI3K-AKT signaling can connect immune activation to carbon use, glycogen handling, lipid synthesis and redox control, but the direction and magnitude of these programs can vary across tissues and cell types. Transcriptomic pathway scores cannot measure metabolite flux, yet they can reveal coordinated pathway activity that motivates direct metabolomic or perturbational testing.
18	Normal	495	False	Single-cell analysis provides a route to localize recurrent bulk signals to specific immune compartments. However, cell-level abundance does not replace biological replication, and small sample numbers require careful separation of descriptive cellular localization from inferential claims. A cross-context analysis must therefore preserve species- and tissue-native modeling while integrating evidence through standardized effects, directional recurrence and explicit interpretation boundaries.
19	Normal	425	False	Here, we reconstructed a multi-context UTI host-response atlas using GSE112098, GSE280297, GSE186800 and GSE252321. We expanded the analysis to 78 submodules across ten endocrine, metabolic, complement and immune axes; resolved recurrent, provisional and context-divergent effects; rebuilt the single-cell experiment into broad and refined immune states; and integrated the results into an eight-figure mechanistic framework.
20	Heading 1	7	False	Methods
21	Heading 2	38	False	Study design and evidence architecture
22	Normal	396	False	This study used an integrative reanalysis of publicly available bulk and single-cell transcriptomic datasets. Each dataset was analyzed independently in its native species, tissue and experimental design. Raw expression values were not pooled across studies. Cross-dataset synthesis was restricted to standardized module effects, recurrence, directional concordance and evidence-class assignment.
23	Normal	305	False	The final framework comprised GSE112098 as a human urinary/systemic inflammatory comparator, GSE280297 as a mouse pregnancy-associated UTI model across bladder, placenta and uterus, GSE186800 as a mouse recurrent or prior-exposure bladder model, and GSE252321 as a four-sample single-cell UPEC experiment.
24	Heading 2	26	False	Expanded submodule library
25	Normal	449	False	A curated library of 78 submodules was organized into ten biological axes: steroid-cholesterol-endocrine biology, lipid metabolism, adipokine signaling, insulin/IRS signaling, inflammatory carbon metabolism, amino-acid metabolism, nucleotide/NAD/nitrogen metabolism, complement architecture, immune-context anchors and catecholamine-stress-adjacent signaling. Modules were retained only when sufficient genes were represented in the relevant matrix.
26	Normal	164	False	Metabolic modules were interpreted as transcriptionally inferred pathway activity and not as direct measurements of metabolite concentration, reaction rate or flux.
27	Heading 2	50	False	Bulk matrix preparation and species-native scoring
28	Normal	321	False	Dataset-specific matrices were inspected for feature identity, orientation, sample annotation and expression scale. Mouse and human matrices were scored in their native gene-symbol space. Dataset-specific contrasts were estimated within each study and tissue, and no gene-level meta-analysis was performed across species.
29	Normal	287	False	For GSE280297, tissue samples were retained as the inferential units because dam identifiers were unavailable. Pregnancy contrasts included preterm versus term, UPEC versus mock/PBS during pregnancy, and pregnant versus nonpregnant bladder comparisons where design support was available.
30	Heading 2	42	False	Effect-size synthesis and evidence classes
31	Normal	418	False	Module-level contrasts were summarized using signed effects, Hedges g where applicable, false-discovery-rate information, tissue coherence and recurrence across eligible contexts. An evidence hierarchy distinguished robust recurrent effects, provisional effects supported by one false-discovery-rate-qualified dataset plus independent directional concordance, context-divergent effects and limited independent support.
32	Normal	173	False	Weighted concordance summarized consistency of effect direction across eligible independent contrasts; it was not treated as a pooled expression estimate or a causal effect.
33	Heading 2	59	False	Single-cell quality control and marker-based reconstruction
