source	target	mechanistic_relation	edge_status
TLR4_LPS_SIGNALING_ANCHOR	NFKB_MAPK_INFLAMMATION_ANCHOR	innate inflammatory signaling	mechanistic hypothesis supported by module patterns
TLR4_LPS_SIGNALING_ANCHOR	PI3K_AKT_SIGNALING	innate metabolic branch	mechanistic hypothesis supported by module patterns
NFKB_MAPK_INFLAMMATION_ANCHOR	NEUTROPHIL_NETOSIS_ANCHOR	neutrophil effector activation	mechanistic hypothesis supported by module patterns
COMPLEMENT_C3A_C5A_SIGNALING	NEUTROPHIL_NETOSIS_ANCHOR	anaphylatoxin-neutrophil coupling	mechanistic hypothesis supported by module patterns
COMPLEMENT_OPSONOPHAGOCYTOSIS	NEUTROPHIL_NETOSIS_ANCHOR	opsonic effector coupling	mechanistic hypothesis supported by module patterns
LEPTIN_SIGNALING	PI3K_AKT_SIGNALING	adipokine metabolic signaling	mechanistic hypothesis supported by module patterns
INSULIN_RECEPTOR_IRS	PI3K_AKT_SIGNALING	canonical insulin signaling	mechanistic hypothesis supported by module patterns
PI3K_AKT_SIGNALING	GLYCOLYSIS	carbon-use activation	mechanistic hypothesis supported by module patterns
PI3K_AKT_SIGNALING	GLYCOGEN_SYNTHESIS	glucose storage	mechanistic hypothesis supported by module patterns
XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	OXIDATIVE_STRESS_NRF2_ANCHOR	purine-redox coupling	mechanistic hypothesis supported by module patterns
OXIDATIVE_STRESS_NRF2_ANCHOR	FERROPTOSIS_LIPID_PEROXIDATION	lipid peroxidation	mechanistic hypothesis supported by module patterns
STEROIDOGENESIS_CORE	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	androgen synthesis	mechanistic hypothesis supported by module patterns
ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	ANDROGEN_RECEPTOR_SIGNALING	androgen response	mechanistic hypothesis supported by module patterns
ESTROGEN_BIOSYNTHESIS	ESTROGEN_RECEPTOR_RESPONSE	estrogen response	mechanistic hypothesis supported by module patterns
GLUCOCORTICOID_RESPONSE	NFKB_MAPK_INFLAMMATION_ANCHOR	anti-inflammatory modulation	mechanistic hypothesis supported by module patterns
