supplementary_table	table_number	description	source_sequence	source_path	source_exists	source_size_bytes	source_status	assembly_mode	selection_rationale	final_user_confirmation_required
Table S1	1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE168600 and GSE252321.	1	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	True	876	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=16.0, margin=0.0.	True
Table S1	1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE168600 and GSE252321.	2	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	True	124024	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=16.0, margin=0.0.	True
Table S1	1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE168600 and GSE252321.	3	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	True	1201	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=16.0, margin=0.0.	True
Table S2	2	Expanded 78-submodule library organized across ten biological axes.	1	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	True	17925	LOCKED_HIGH_CONFIDENCE	DIRECT_OR_COMPOSITE_FROM_EXACT_FROZEN_SOURCES	Exact frozen source paths were available.	False
Table S3	3	Dataset-specific module effects and factorial or adjusted contrasts.	1	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_cell_level_UPEC_vs_Control_module_contrast_v1.tsv	True	4513	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=10.0, margin=0.0.	True
Table S3	3	Dataset-specific module effects and factorial or adjusted contrasts.	2	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_sample_level_UPEC_vs_Control_module_contrast_v1.tsv	True	4975	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=10.0, margin=0.0.	True
Table S3	3	Dataset-specific module effects and factorial or adjusted contrasts.	3	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_human_urine_module_contrast_v1.tsv	True	5704	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=10.0, margin=0.0.	True
Table S4	4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	1	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_validation_class_summary.tsv	True	183	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=8.0, margin=0.0.	True
Table S4	4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	2	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	True	27151	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=8.0, margin=0.0.	True
Table S4	4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	3	project://06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_Figure_9_panel_evidence.tsv	True	26868	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=8.0, margin=0.0.	True
