body_index	element_type	paragraph_index	table_index	text	style_id	detected_section	word_count	character_count	has_drawing
0	paragraph	0		Pre-Zotero manuscript v5.2 | Results reconstructed; frozen Figures 1-8 integrated	Title		10	81	False
1	paragraph	1		Updated: 2026-07-16			2	19	False
2	paragraph	2		Working title	Heading2		2	13	False
3	paragraph	3		Cellular and immunometabolic architecture of urinary tract infection susceptibility, recurrence, and pregnancy-associated inflammation: an integrative host-omics and single-cell validation study			20	194	False
4	paragraph	4		Authors	Heading2		1	7	False
5	paragraph	5		Reuben S. Maghembe			3	18	False
6	paragraph	6		Affiliations and co-author list to be finalized before journal formatting.			10	74	False
7	paragraph	7		Keywords	Heading2		1	8	False
8	paragraph	8		urinary tract infection; recurrent UTI; pregnancy-associated UTI; UPEC; host omics; single-cell transcriptomics; innate immunity; NLRP3; TLR4; TLR5; glucocorticoid signaling; oxytocin signaling; immunometabolism			22	211	False
9	paragraph	9		Abstract	Heading1	Abstract	1	8	False
10	paragraph	10		Background: Urinary tract infection (UTI), recurrent UTI, and pregnancy-associated UTI involve pathogen exposure in host compartments where epithelial, immune, hormonal, inflammatory, and metabolic-response programs may shape disease expression. However, public omics datasets are often analyzed within individual compartments, limiting cross-context synthesis.			41	361	False
11	paragraph	11		Methods: We constructed a curated UTI host-response module library and reanalyzed public datasets representing a recurrence-trigger bladder model, pregnancy-associated UTI tissues, a repaired human urine inflammatory comparator, and UPEC-responsive single-cell data. Matrices were inspected, repaired where possible, harmonized to gene-level features, and scored for modules capturing innate sensing, NF-kB/MAPK and interferon-like signaling, inflammatory cell death, neutrophil/NETosis, myeloid activation, immune restraint, hormonal signaling, oxidative stress, barrier repair, and transcriptionally inferred metabolic activity. Cross-cohort module priorities were integrated with sample-level and cell-distribution validation from GSE252321 single-cell data.			87	761	False
12	paragraph	12		Results: The single-cell validation layer included 28313 cells, comprising 14857 control and 13456 UPEC-exposed cells across four biological samples. Cross-cohort integration identified 17 modules supported by both sample-level and cell-distribution single-cell validation. The strongest validated architecture involved NEUTROPHIL_NETOSIS, TYPE_I_INTERFERON_IRF, TLR4_LPS_SIGNALING, NLRP3_PYROPTOSIS, TLR5_FLAGELLIN_SIGNALING, NECROPTOSIS_MODULE, COMPLEMENT_COAGULATION_ANTIMICROBIAL, NF_KB_MAPK_INFLAMMATION, MACROPHAGE_DC_ACTIVATION, GLUCOCORTICOID_SIGNALING. Three modules, TCA_OXPHOS_MITOCHONDRIAL, APOPTOSIS_MODULE, MAST_CELL_MRGPRX2_AXIS, showed single-cell-consistent directionality that differed from the bulk-dominant cross-context direction, suggesting compartment- or cell-state-specific behavior.			67	808	False
13	paragraph	13		Conclusions: This integrative host-omics atlas identifies convergent UTI inflammatory, hormonal, cell-death-associated, and transcriptionally inferred metabolic-response modules, while distinguishing broadly validated modules from context-dependent programs. The framework prioritizes mechanistic axes for future prospective, spatial, proteomic, metabolomic, and perturbational validation.			38	389	False
14	paragraph	14		Introduction	Heading1	Introduction	1	12	False
15	paragraph	15		Urinary tract infection is a common bacterial disease syndrome with substantial recurrence burden, and pregnancy-associated UTI is clinically important because infection-related inflammation occurs in a maternal-fetal physiological context. Although UPEC and other uropathogens are central to disease initiation, clinical outcome and recurrence risk are also shaped by host epithelial, immune, inflammatory, hormonal, and metabolic-response programs [Worby_2022_rUTI_multiomics; Hannan_2023_immune_defenses_urinary_tract; GSE280297_maternofetal_UTI_preterm; Schwartz_2023_uropathogen_host_pyelonephritis].			59	605	False
16	paragraph	16		Existing omics studies provide valuable views of specific UTI-related compartments, including bladder tissue, urine, pregnancy-associated tissues, recurrence-trigger models, and single-cell immune states. However, these data are usually analyzed within individual datasets, limiting the ability to identify host-response modules that recur across biological contexts or distinguish broad inflammatory convergence from compartment-specific behavior [Worby_2022_rUTI_multiomics; Bandyopadhyay_2020_urinary_molecular_signature_sepsis; Liu_2025_CD137L_macrophage_UPEC_scRNA; GSE280297_maternofetal_UTI_preterm].			55	607	False
17	paragraph	17		A module-level reanalysis strategy is well suited to this problem because it can compare interpretable host-response programs across heterogeneous platforms, organisms, tissues, and sample types. Here, curated modules were used to represent microbial sensing, NF-kB/MAPK and interferon-like signaling, inflammatory cell death, neutrophil and myeloid effector biology, immune restraint, pregnancy/hormonal signaling, oxidative stress, barrier repair, and transcriptionally inferred metabolic activity [Andreatta_2021_UCell; Wang_2024_scPS_benchmark; Andreatta_2026_UCell_pyUCell; Worby_2022_rUTI_multiomics].			65	607	False
18	paragraph	18		The objective of this study was to reconstruct a multi-context UTI host-response atlas by integrating recurrence-trigger, pregnancy-associated UTI, human urine inflammatory comparator, and UPEC single-cell validation layers. The analysis aimed to identify convergent host-response modules, evaluate whether these modules were directionally supported in UPEC-responsive single-cell data, and define modules that behaved differently across bulk and single-cell contexts. The overall workflow is summarized in Figure 1.			65	516	False
19	paragraph	19		The resulting atlas prioritized NEUTROPHIL_NETOSIS, TYPE_I_INTERFERON_IRF, TLR4_LPS_SIGNALING, NLRP3_PYROPTOSIS, TLR5_FLAGELLIN_SIGNALING, NECROPTOSIS_MODULE, COMPLEMENT_COAGULATION_ANTIMICROBIAL, NF_KB_MAPK_INFLAMMATION, MACROPHAGE_DC_ACTIVATION, GLUCOCORTICOID_SIGNALING as dominant single-cell-validated host-response modules. In contrast, TCA_OXPHOS_MITOCHONDRIAL, APOPTOSIS_MODULE, MAST_CELL_MRGPRX2_AXIS showed single-cell-consistent directionality that differed from the bulk-dominant cross-context direction, highlighting compartment- and cell-state-specific behavior. This framework provides a mechanistic scaffold for interpreting UTI host responses across bladder, urine, pregnancy-associated tissue, and single-cell immune contexts.			59	744	False
20	paragraph	20		Methods	Heading1	Methods	1	7	False
21	paragraph	21		Study design and public dataset framework	Heading2		6	41	False
22	paragraph	22		This study used an integrative public-data reanalysis framework to reconstruct host-response programs associated with UTI-related inflammation, recurrence-associated bladder perturbation, pregnancy-associated UTI, human urine inflammatory states, and UPEC-responsive single-cell profiles. The analysis was organized around a bladder-blood-gut-pregnancy conceptual axis, but formal module scoring was restricted to datasets with usable gene-level expression or count matrices after matrix inspection and repair. Dataset acquisition, file-structure inspection, matrix repair, module scoring, cross-cohort integration, and single-cell validation were implemented as sequential reproducible phases within the project directory `project:`.			84	754	False
23	paragraph	23		The final included analysis layers were: GSE186800 as a Gardnerella-triggered bladder recurrence model; GSE280297 gene-count data as a pregnancy-associated UTI model with bladder, uterus, and placenta contexts; GSE112098 as a repaired human urine inflammatory comparator; and GSE252321 as a single-cell UPEC validation layer. Datasets or files that could not be resolved to reliable gene-level features were held from formal module scoring. Specifically, the alternative GSE280297 normalized matrix was held because module coverage remained unsuitable after repair, and GSE261018 was held as diagnostic-only because the acquired count matrix lacked usable gene identifiers in the downloaded file. Additional single-cell resources identified during acquisition were reserved for possible later annotation or validation extensions.			110	829	False
24	paragraph	24		Public data acquisition and file-structure inspection	Heading2		6	53	False
25	paragraph	25		GEO series matrices, supplementary files, and GEO file lists were downloaded or inventoried during the acquisition phases. Each candidate matrix was inspected for delimiter structure, header composition, sample-column identity, feature-column identity, row count, and compatibility with gene-symbol-level module scoring. Processed matrices with clear gene identifiers and sample columns were advanced to matrix repair and module scoring. Files with ambiguous feature identities, non-gene first columns, or unresolved orientation were not used for formal contrasts until repair could establish a usable gene-by-sample or gene-by-cell structure.			83	643	False
26	paragraph	26		Curated UTI host-response module library	Heading2		5	40	False
27	paragraph	27		A curated host-response module library was constructed in GMT format and used consistently across bulk, urine, pregnancy-associated tissue, recurrence-trigger, and single-cell analyses. The library covered innate microbial sensing modules including TLR4/LPS and TLR5/flagellin signaling; inflammatory signal-transduction modules including NF-kB/MAPK and type-I-interferon/IRF programs; inflammatory cell-death modules including NLRP3/pyroptosis, apoptosis, necroptosis, and ferroptosis/oxidative cell death; effector and regulatory immune modules including neutrophil/NETosis, macrophage/DC activation, Treg/IL10/CD137, mast-cell/MRGPRX2, complement/coagulation/antimicrobial defense; pregnancy and hormonal modules including glucocorticoid and oxytocin/pregnancy signaling; oxidative stress and transcriptionally inferred metabolic activity modules; and urothelial barrier/repair modules. Module names were retained as stable computational identifiers, while biological interpretation used conservative language such as transcriptionally inferred metabolic activity rather than direct metabolic flux.			127	1101	False
28	paragraph	28		Matrix repair and gene-symbol harmonization	Heading2		5	43	False
29	paragraph	29		Each dataset was repaired using matrix-specific logic based on the observed file structure. For GSE186800, the raw gene CPM matrix was parsed to retain the true biological sample columns and remove non-sample annotation columns. For GSE280297, the gene-count matrix was repaired by mapping mouse Ensembl-like identifiers to gene symbols using locally available symbol relationships from the project data layer. The repaired GSE280297 gene-count matrix was used for tissue- and outcome-specific pregnancy-associated UTI contrasts, whereas the alternative normalized matrix was held because it did not recover adequate module gene coverage. For GSE112098, the GEO series matrix expression table was extracted and repaired by mapping probe identifiers to gene symbols using the independent validation matrix that contained probe-to-symbol annotations. Sample labels were inferred from GEO sample titles and characteristics to define sepsis and vascular-surgery control groups.			134	973	False
30	paragraph	30		For GSE252321, the first direct attempt to download individual supplementary matrix files failed because the matrices were packaged inside the GEO RAW tar archive rather than exposed as standalone files. The RAW tar archive was therefore downloaded, and four expected matrices were extracted: Control_1, Control_2, UPEC_1, and UPEC_2. Matrix inspection showed that each extracted file was a gene-by-cell count matrix with gene symbols in the first column and cell barcodes in the remaining columns. These matrices were then advanced to memory-safe single-cell scoring.			83	568	False
31	paragraph	31		Module scoring in bulk, urine, and pregnancy-associated tissue matrices	Heading2		9	71	False
32	paragraph	32		Repaired gene-by-sample matrices were transformed as appropriate for the expression scale of each dataset and then scored against the curated module library. Module scores were calculated only when sufficient module genes were present in the repaired matrix. Dataset-specific group contrasts were generated as signed module-score differences between predefined biological groups. GSE186800 was analyzed as Gardnerella versus PBS exposure in a recurrence-trigger bladder model. GSE280297 gene-count data were analyzed across bladder, uterus, and placenta compartments using contrasts for UTI89 preterm versus mock, UTI89 term versus mock, UTI89 preterm versus UTI89 term, and nonpregnant UTI89 versus mock where applicable. GSE112098 was analyzed as a human urine sepsis versus vascular-surgery control comparator after probe-to-symbol repair.			112	842	False
33	paragraph	33		For each contrast, the analysis recorded group means, signed deltas, effect-size summaries, nominal P values where applicable, and Benjamini-Hochberg false-discovery-rate estimates. Because the included datasets differed in organism, tissue source, sample type, platform, and study design, formal integration emphasized module-level directionality, relative effect size, and cross-context concordance rather than direct gene-level meta-analysis.			52	445	False
34	paragraph	34		Cross-cohort module atlas and prioritization	Heading2		5	44	False
